epoch, loss(train), loss(val)
1, 0.088105, 0.086994
2, 0.069016, 0.067319
3, 0.063493, 0.062490
4, 0.061166, 0.060324
5, 0.059111, 0.058802
6, 0.058217, 0.058072
7, 0.057673, 0.057601
8, 0.057304, 0.057162
9, 0.057062, 0.057025
10, 0.057418, 0.057427
11, 0.057644, 0.057757
12, 0.057245, 0.057434
13, 0.056343, 0.056625
14, 0.056089, 0.056457
15, 0.056293, 0.056731
16, 0.057241, 0.057628
17, 0.058247, 0.058648
18, 0.058864, 0.059277
19, 0.058467, 0.058816
20, 0.056868, 0.057285
21, 0.055204, 0.055681
22, 0.054202, 0.054688
23, 0.053643, 0.054081
24, 0.053434, 0.053787
25, 0.053255, 0.053631
26, 0.053279, 0.053585
27, 0.053285, 0.053530
28, 0.053115, 0.053377
29, 0.052885, 0.053194
30, 0.052647, 0.053007
31, 0.052432, 0.052852
32, 0.052234, 0.052709
33, 0.052098, 0.052580
34, 0.052016, 0.052496
35, 0.052007, 0.052426
36, 0.052028, 0.052371
37, 0.052057, 0.052324
38, 0.052117, 0.052293
39, 0.052214, 0.052288
40, 0.052251, 0.052291
41, 0.052255, 0.052270
42, 0.052318, 0.052298
43, 0.052147, 0.052220
44, 0.051987, 0.052156
45, 0.051803, 0.052075
46, 0.051691, 0.052033
47, 0.051588, 0.051987
48, 0.051484, 0.051949
49, 0.051444, 0.051918
50, 0.051383, 0.051890
51, 0.051326, 0.051866
52, 0.051305, 0.051856
53, 0.051260, 0.051832
54, 0.051201, 0.051819
55, 0.051167, 0.051810
56, 0.051128, 0.051802
57, 0.051077, 0.051806
58, 0.051048, 0.051810
59, 0.051017, 0.051813
60, 0.050985, 0.051836
61, 0.050961, 0.051862
62, 0.050945, 0.051891
63, 0.050936, 0.051925
64, 0.050925, 0.051931
65, 0.050917, 0.051942
66, 0.050912, 0.051960
67, 0.050904, 0.051971
68, 0.050889, 0.051948
69, 0.050875, 0.051924
70, 0.050863, 0.051906
71, 0.050853, 0.051900
72, 0.050842, 0.051879
73, 0.050831, 0.051857
74, 0.050825, 0.051850
75, 0.050815, 0.051819
76, 0.050810, 0.051824
77, 0.050803, 0.051799
78, 0.050798, 0.051791
79, 0.050794, 0.051790
80, 0.050789, 0.051775
81, 0.050785, 0.051775
82, 0.050781, 0.051772
83, 0.050777, 0.051764
84, 0.050774, 0.051762
85, 0.050772, 0.051758
86, 0.050769, 0.051756
87, 0.050766, 0.051754
88, 0.050764, 0.051743
89, 0.050761, 0.051744
90, 0.050759, 0.051742
91, 0.050757, 0.051739
92, 0.050756, 0.051735
93, 0.050754, 0.051730
94, 0.050753, 0.051730
95, 0.050751, 0.051732
96, 0.050750, 0.051725
97, 0.050749, 0.051720
98, 0.050748, 0.051723
99, 0.050747, 0.051725
100, 0.050746, 0.051722
101, 0.050745, 0.051723
102, 0.050744, 0.051720
103, 0.050744, 0.051720
104, 0.050743, 0.051720
105, 0.050743, 0.051715
106, 0.050742, 0.051718
107, 0.050741, 0.051720
108, 0.050741, 0.051719
109, 0.050740, 0.051717
110, 0.050740, 0.051715
111, 0.050739, 0.051716
112, 0.050739, 0.051715
113, 0.050739, 0.051714
114, 0.050738, 0.051714
115, 0.050738, 0.051713
116, 0.050738, 0.051712
117, 0.050737, 0.051713
118, 0.050737, 0.051714
119, 0.050737, 0.051713
120, 0.050737, 0.051713
121, 0.050736, 0.051712
122, 0.050736, 0.051713
123, 0.050736, 0.051714
124, 0.050736, 0.051713
125, 0.050736, 0.051713
126, 0.050736, 0.051711
127, 0.050736, 0.051710
128, 0.050736, 0.051710
129, 0.050736, 0.051711
130, 0.050736, 0.051710
131, 0.050735, 0.051710
132, 0.050735, 0.051709
133, 0.050735, 0.051709
134, 0.050735, 0.051709
135, 0.050735, 0.051709
136, 0.050735, 0.051709
137, 0.050735, 0.051709
138, 0.050735, 0.051709
139, 0.050735, 0.051709
140, 0.050735, 0.051709
141, 0.050735, 0.051709
142, 0.050735, 0.051709
143, 0.050735, 0.051709
144, 0.050735, 0.051708
145, 0.050735, 0.051708
146, 0.050735, 0.051708
147, 0.050735, 0.051708
148, 0.050735, 0.051708
149, 0.050735, 0.051708
150, 0.050735, 0.051708
151, 0.050735, 0.051708
152, 0.050735, 0.051708
153, 0.050735, 0.051708
154, 0.050735, 0.051708
155, 0.050735, 0.051708
156, 0.050735, 0.051708
157, 0.050735, 0.051708
158, 0.050735, 0.051707
159, 0.050735, 0.051708
160, 0.050735, 0.051707
161, 0.050735, 0.051707
162, 0.050735, 0.051707
163, 0.050735, 0.051707
164, 0.050735, 0.051707
165, 0.050735, 0.051707
166, 0.050735, 0.051707
167, 0.050735, 0.051707
168, 0.050735, 0.051707
169, 0.050735, 0.051707
170, 0.050735, 0.051707
171, 0.050735, 0.051707
172, 0.050735, 0.051707
173, 0.050735, 0.051707
174, 0.050735, 0.051707
175, 0.050735, 0.051707
176, 0.050735, 0.051707
177, 0.050735, 0.051707
178, 0.050735, 0.051707
