epoch, loss(train), loss(val)
28, 0.053071, 0.053007
29, 0.052948, 0.052935
30, 0.052997, 0.052941
31, 0.053064, 0.052970
32, 0.053172, 0.052973
33, 0.053340, 0.053012
34, 0.053407, 0.053008
35, 0.053488, 0.053011
36, 0.053523, 0.052991
37, 0.053434, 0.052903
38, 0.053004, 0.052646
39, 0.052548, 0.052387
40, 0.052184, 0.052197
41, 0.051921, 0.052086
42, 0.051787, 0.052001
43, 0.051664, 0.051921
44, 0.051557, 0.051856
45, 0.051499, 0.051807
46, 0.051440, 0.051767
47, 0.051405, 0.051744
48, 0.051368, 0.051721
49, 0.051326, 0.051705
50, 0.051288, 0.051689
51, 0.051239, 0.051667
52, 0.051180, 0.051656
53, 0.051117, 0.051658
54, 0.051078, 0.051665
55, 0.051036, 0.051678
56, 0.051011, 0.051702
57, 0.050990, 0.051737
58, 0.050977, 0.051756
59, 0.050971, 0.051791
60, 0.050955, 0.051786
61, 0.050941, 0.051792
62, 0.050929, 0.051794
63, 0.050904, 0.051764
64, 0.050879, 0.051731
65, 0.050859, 0.051707
66, 0.050838, 0.051671
67, 0.050822, 0.051655
68, 0.050804, 0.051619
69, 0.050792, 0.051603
70, 0.050781, 0.051588
71, 0.050770, 0.051567
72, 0.050762, 0.051553
73, 0.050755, 0.051545
74, 0.050748, 0.051538
75, 0.050742, 0.051527
76, 0.050736, 0.051523
77, 0.050731, 0.051517
78, 0.050726, 0.051506
79, 0.050722, 0.051507
80, 0.050717, 0.051499
81, 0.050713, 0.051492
82, 0.050709, 0.051488
83, 0.050706, 0.051491
84, 0.050703, 0.051484
85, 0.050700, 0.051476
86, 0.050698, 0.051476
87, 0.050695, 0.051471
88, 0.050693, 0.051474
89, 0.050691, 0.051469
90, 0.050689, 0.051463
91, 0.050687, 0.051464
92, 0.050685, 0.051462
93, 0.050683, 0.051460
94, 0.050682, 0.051455
95, 0.050681, 0.051457
96, 0.050679, 0.051455
97, 0.050678, 0.051454
98, 0.050677, 0.051455
99, 0.050676, 0.051454
100, 0.050675, 0.051452
1, 0.086237, 0.086168
2, 0.066817, 0.065911
3, 0.063177, 0.062407
4, 0.061026, 0.060297
5, 0.059943, 0.059473
6, 0.058618, 0.058114
7, 0.057991, 0.057816
8, 0.057960, 0.057804
9, 0.058586, 0.058320
10, 0.058809, 0.058750
11, 0.057933, 0.058105
12, 0.057471, 0.057670
13, 0.057318, 0.057520
14, 0.057432, 0.057578
15, 0.057712, 0.057838
16, 0.058157, 0.058160
17, 0.058045, 0.058048
18, 0.057258, 0.057315
19, 0.056103, 0.056101
20, 0.055167, 0.055090
21, 0.054440, 0.054323
22, 0.053996, 0.053912
23, 0.053813, 0.053733
24, 0.053584, 0.053587
25, 0.053363, 0.053465
26, 0.053242, 0.053413
27, 0.053028, 0.053261
28, 0.052812, 0.053128
29, 0.052652, 0.052984
30, 0.052535, 0.052863
31, 0.052439, 0.052725
32, 0.052366, 0.052586
33, 0.052277, 0.052462
34, 0.052236, 0.052378
35, 0.052206, 0.052301
36, 0.052131, 0.052229
37, 0.052080, 0.052175
38, 0.051932, 0.052086
39, 0.051834, 0.052032
40, 0.051742, 0.051984
41, 0.051577, 0.051924
42, 0.051501, 0.051901
43, 0.051449, 0.051876
44, 0.051393, 0.051869
45, 0.051368, 0.051851
46, 0.051376, 0.051837
47, 0.051365, 0.051807
48, 0.051349, 0.051793
49, 0.051350, 0.051774
50, 0.051308, 0.051759
51, 0.051285, 0.051734
52, 0.051267, 0.051716
53, 0.051197, 0.051707
54, 0.051160, 0.051691
55, 0.051111, 0.051690
56, 0.051065, 0.051692
57, 0.051019, 0.051708
58, 0.050985, 0.051736
59, 0.050964, 0.051761
60, 0.050948, 0.051782
61, 0.050943, 0.051836
62, 0.050930, 0.051840
63, 0.050921, 0.051851
64, 0.050902, 0.051832
65, 0.050885, 0.051809
66, 0.050869, 0.051790
67, 0.050854, 0.051774
68, 0.050836, 0.051741
69, 0.050824, 0.051727
70, 0.050812, 0.051704
71, 0.050800, 0.051679
72, 0.050792, 0.051671
73, 0.050785, 0.051665
74, 0.050776, 0.051649
75, 0.050770, 0.051641
76, 0.050764, 0.051627
77, 0.050759, 0.051624
78, 0.050753, 0.051614
79, 0.050748, 0.051609
80, 0.050744, 0.051604
81, 0.050740, 0.051599
82, 0.050736, 0.051592
83, 0.050733, 0.051590
84, 0.050730, 0.051590
85, 0.050727, 0.051587
86, 0.050724, 0.051580
87, 0.050721, 0.051575
88, 0.050719, 0.051574
89, 0.050717, 0.051573
90, 0.050715, 0.051568
91, 0.050713, 0.051565
92, 0.050712, 0.051564
93, 0.050710, 0.051562
94, 0.050709, 0.051560
95, 0.050707, 0.051559
96, 0.050706, 0.051555
97, 0.050705, 0.051552
98, 0.050704, 0.051554
99, 0.050703, 0.051554
100, 0.050702, 0.051551
1, 0.089826, 0.087610
2, 0.067577, 0.066210
3, 0.064038, 0.063006
4, 0.060244, 0.059602
5, 0.059227, 0.058822
6, 0.058737, 0.058792
7, 0.058215, 0.058426
8, 0.057274, 0.057502
9, 0.057132, 0.057426
10, 0.056904, 0.057230
11, 0.057148, 0.057484
12, 0.057290, 0.057630
13, 0.057313, 0.057586
14, 0.056691, 0.056890
15, 0.055783, 0.055999
16, 0.055334, 0.055583
17, 0.055496, 0.055625
18, 0.055848, 0.055966
19, 0.056469, 0.056572
20, 0.057220, 0.057206
21, 0.057383, 0.057452
22, 0.056780, 0.056885
23, 0.055630, 0.055793
24, 0.054334, 0.054489
25, 0.053592, 0.053724
26, 0.053303, 0.053389
27, 0.053062, 0.053169
28, 0.053093, 0.053166
29, 0.053281, 0.053265
30, 0.053359, 0.053331
31, 0.053417, 0.053345
32, 0.053442, 0.053321
33, 0.053280, 0.053169
34, 0.053042, 0.052970
35, 0.052677, 0.052694
36, 0.052356, 0.052496
37, 0.052130, 0.052343
38, 0.051967, 0.052270
39, 0.051858, 0.052225
40, 0.051766, 0.052186
41, 0.051688, 0.052134
42, 0.051594, 0.052048
43, 0.051490, 0.051962
44, 0.051394, 0.051891
45, 0.051314, 0.051834
46, 0.051240, 0.051802
47, 0.051188, 0.051788
48, 0.051140, 0.051788
49, 0.051096, 0.051787
50, 0.051063, 0.051781
51, 0.051026, 0.051795
52, 0.050999, 0.051804
53, 0.050980, 0.051816
54, 0.050963, 0.051823
55, 0.050948, 0.051837
56, 0.050931, 0.051833
57, 0.050918, 0.051838
58, 0.050899, 0.051821
59, 0.050875, 0.051788
60, 0.050850, 0.051753
61, 0.050831, 0.051731
62, 0.050811, 0.051693
63, 0.050796, 0.051672
64, 0.050784, 0.051655
65, 0.050771, 0.051625
66, 0.050760, 0.051608
67, 0.050751, 0.051598
68, 0.050744, 0.051597
69, 0.050736, 0.051580
70, 0.050730, 0.051581
71, 0.050723, 0.051565
72, 0.050717, 0.051560
73, 0.050711, 0.051549
74, 0.050706, 0.051550
75, 0.050702, 0.051542
76, 0.050696, 0.051532
77, 0.050693, 0.051534
78, 0.050688, 0.051525
79, 0.050684, 0.051525
80, 0.050681, 0.051526
81, 0.050677, 0.051521
82, 0.050675, 0.051520
83, 0.050671, 0.051510
84, 0.050668, 0.051509
85, 0.050666, 0.051507
86, 0.050664, 0.051506
87, 0.050661, 0.051503
88, 0.050659, 0.051504
89, 0.050657, 0.051499
90, 0.050655, 0.051496
91, 0.050654, 0.051497
92, 0.050652, 0.051498
93, 0.050650, 0.051495
94, 0.050649, 0.051495
95, 0.050648, 0.051491
96, 0.050647, 0.051491
97, 0.050646, 0.051491
98, 0.050645, 0.051490
99, 0.050644, 0.051491
100, 0.050643, 0.051489
1, 0.085300, 0.083685
2, 0.066953, 0.065985
3, 0.064071, 0.063177
4, 0.061052, 0.060448
5, 0.059383, 0.059186
6, 0.058582, 0.058385
7, 0.057840, 0.057679
8, 0.057490, 0.057312
9, 0.057308, 0.057126
10, 0.056718, 0.056649
11, 0.056284, 0.056397
12, 0.055857, 0.056005
13, 0.055451, 0.055661
14, 0.055363, 0.055531
15, 0.055445, 0.055545
16, 0.055360, 0.055467
17, 0.055204, 0.055398
18, 0.054983, 0.055307
19, 0.054601, 0.055000
20, 0.054591, 0.054917
21, 0.054396, 0.054738
22, 0.054501, 0.054852
23, 0.054861, 0.055244
24, 0.055324, 0.055727
25, 0.055759, 0.056135
26, 0.056071, 0.056407
27, 0.055936, 0.056284
28, 0.055192, 0.055479
29, 0.054194, 0.054437
30, 0.053646, 0.053798
31, 0.053466, 0.053572
32, 0.053537, 0.053568
33, 0.053592, 0.053585
34, 0.053791, 0.053701
35, 0.053868, 0.053710
36, 0.053803, 0.053639
37, 0.053587, 0.053460
38, 0.053151, 0.053148
39, 0.052732, 0.052863
40, 0.052385, 0.052624
41, 0.052123, 0.052437
42, 0.051956, 0.052307
43, 0.051858, 0.052221
44, 0.051767, 0.052147
45, 0.051678, 0.052093
46, 0.051649, 0.052045
47, 0.051587, 0.051998
48, 0.051510, 0.051950
49, 0.051464, 0.051920
50, 0.051407, 0.051894
51, 0.051346, 0.051874
52, 0.051286, 0.051866
53, 0.051240, 0.051856
54, 0.051194, 0.051873
55, 0.051154, 0.051884
56, 0.051128, 0.051895
57, 0.051107, 0.051928
58, 0.051096, 0.051963
59, 0.051089, 0.051990
60, 0.051084, 0.052012
61, 0.051071, 0.052018
62, 0.051056, 0.052011
63, 0.051039, 0.052001
64, 0.051017, 0.051979
65, 0.050996, 0.051954
66, 0.050975, 0.051927
67, 0.050955, 0.051898
68, 0.050940, 0.051876
69, 0.050923, 0.051856
70, 0.050910, 0.051839
71, 0.050899, 0.051830
72, 0.050885, 0.051802
73, 0.050876, 0.051789
74, 0.050868, 0.051780
75, 0.050859, 0.051767
76, 0.050852, 0.051755
77, 0.050847, 0.051750
78, 0.050841, 0.051743
79, 0.050836, 0.051736
80, 0.050831, 0.051728
81, 0.050826, 0.051721
82, 0.050822, 0.051717
83, 0.050818, 0.051712
84, 0.050814, 0.051704
85, 0.050811, 0.051707
86, 0.050808, 0.051702
87, 0.050805, 0.051700
88, 0.050802, 0.051695
89, 0.050800, 0.051694
90, 0.050797, 0.051688
91, 0.050796, 0.051688
92, 0.050794, 0.051688
93, 0.050792, 0.051685
94, 0.050790, 0.051679
95, 0.050788, 0.051678
