epoch, loss(train), loss(val)
1, 0.089663, 0.088737
2, 0.070667, 0.068928
3, 0.063542, 0.062128
4, 0.060417, 0.059723
5, 0.059493, 0.059026
6, 0.058942, 0.058448
7, 0.058415, 0.057891
8, 0.057964, 0.057296
9, 0.057504, 0.056888
10, 0.056998, 0.056621
11, 0.056863, 0.056618
12, 0.056772, 0.056483
13, 0.056706, 0.056282
14, 0.056430, 0.055929
15, 0.056260, 0.055614
16, 0.055839, 0.055432
17, 0.055648, 0.055394
18, 0.055889, 0.055650
19, 0.056102, 0.055804
20, 0.055990, 0.055733
21, 0.056002, 0.055650
22, 0.055604, 0.055251
23, 0.054814, 0.054507
24, 0.054289, 0.053961
25, 0.054040, 0.053693
26, 0.054076, 0.053621
27, 0.054120, 0.053601
28, 0.054555, 0.053849
29, 0.055195, 0.054283
30, 0.055647, 0.054590
31, 0.055832, 0.054655
32, 0.055375, 0.054319
33, 0.054487, 0.053729
34, 0.053432, 0.053076
35, 0.052729, 0.052693
36, 0.052390, 0.052524
37, 0.052178, 0.052437
38, 0.052099, 0.052385
39, 0.052070, 0.052320
40, 0.052017, 0.052243
41, 0.051925, 0.052159
42, 0.051824, 0.052056
43, 0.051765, 0.051970
44, 0.051683, 0.051933
45, 0.051606, 0.051889
46, 0.051533, 0.051864
47, 0.051464, 0.051846
48, 0.051401, 0.051838
49, 0.051325, 0.051843
50, 0.051266, 0.051860
51, 0.051222, 0.051899
52, 0.051193, 0.051918
53, 0.051176, 0.051968
54, 0.051162, 0.052006
55, 0.051134, 0.051998
56, 0.051111, 0.051992
57, 0.051075, 0.051958
58, 0.051050, 0.051941
59, 0.051010, 0.051883
60, 0.050980, 0.051837
61, 0.050952, 0.051785
62, 0.050934, 0.051770
63, 0.050916, 0.051740
64, 0.050899, 0.051707
65, 0.050887, 0.051699
66, 0.050875, 0.051674
67, 0.050866, 0.051669
68, 0.050856, 0.051652
69, 0.050847, 0.051641
70, 0.050839, 0.051635
1, 0.088789, 0.087691
2, 0.068032, 0.067004
3, 0.063522, 0.062396
4, 0.061677, 0.060596
5, 0.060235, 0.059540
6, 0.060055, 0.059479
7, 0.059696, 0.058983
8, 0.058420, 0.057931
9, 0.057890, 0.057784
10, 0.057887, 0.057939
11, 0.058021, 0.058248
12, 0.057937, 0.058021
13, 0.057402, 0.057456
14, 0.056914, 0.057007
15, 0.056709, 0.056965
16, 0.056852, 0.057157
17, 0.057367, 0.057542
18, 0.057601, 0.057665
19, 0.057731, 0.057718
20, 0.057218, 0.057077
21, 0.056135, 0.056025
22, 0.055024, 0.054987
23, 0.054295, 0.054281
24, 0.053959, 0.053951
25, 0.053691, 0.053717
26, 0.053627, 0.053622
27, 0.053773, 0.053724
28, 0.054236, 0.053973
29, 0.054522, 0.054070
30, 0.054943, 0.054246
31, 0.055004, 0.054189
32, 0.054876, 0.053994
33, 0.054486, 0.053667
34, 0.053800, 0.053187
35, 0.053172, 0.052797
36, 0.052741, 0.052563
37, 0.052461, 0.052420
38, 0.052257, 0.052302
39, 0.052129, 0.052214
40, 0.052035, 0.052163
41, 0.051944, 0.052115
42, 0.051880, 0.052084
43, 0.051804, 0.052055
44, 0.051738, 0.052032
45, 0.051650, 0.052006
46, 0.051562, 0.051986
47, 0.051479, 0.051978
48, 0.051412, 0.051979
49, 0.051361, 0.051999
50, 0.051323, 0.052038
51, 0.051302, 0.052081
52, 0.051278, 0.052096
53, 0.051261, 0.052118
54, 0.051239, 0.052120
55, 0.051207, 0.052095
1, 0.090615, 0.089994
2, 0.069812, 0.068600
3, 0.064214, 0.063470
4, 0.061411, 0.061059
5, 0.060100, 0.059814
6, 0.059087, 0.059043
7, 0.058686, 0.058661
8, 0.058388, 0.058214
9, 0.058066, 0.057698
10, 0.057511, 0.057332
11, 0.057068, 0.057097
12, 0.057114, 0.057160
13, 0.056885, 0.056944
14, 0.056694, 0.056566
15, 0.056233, 0.056134
16, 0.055359, 0.055511
17, 0.055256, 0.055431
18, 0.055643, 0.055726
19, 0.056205, 0.056171
20, 0.056926, 0.056773
21, 0.057006, 0.056768
22, 0.056528, 0.056344
23, 0.055433, 0.055290
24, 0.054533, 0.054371
25, 0.054282, 0.054007
26, 0.054135, 0.053829
27, 0.054173, 0.053806
28, 0.054269, 0.053833
29, 0.054556, 0.054030
30, 0.054662, 0.054104
31, 0.054619, 0.054089
32, 0.054174, 0.053796
33, 0.053649, 0.053463
34, 0.052997, 0.053043
35, 0.052595, 0.052792
36, 0.052346, 0.052621
37, 0.052151, 0.052500
38, 0.052059, 0.052406
39, 0.052001, 0.052335
40, 0.051941, 0.052277
41, 0.051894, 0.052226
42, 0.051868, 0.052181
43, 0.051789, 0.052130
44, 0.051722, 0.052078
45, 0.051639, 0.052052
46, 0.051541, 0.052007
47, 0.051465, 0.052000
48, 0.051404, 0.051979
49, 0.051339, 0.051980
50, 0.051292, 0.051991
51, 0.051249, 0.051991
52, 0.051222, 0.052008
53, 0.051198, 0.052018
54, 0.051173, 0.052017
55, 0.051146, 0.052003
56, 0.051118, 0.051979
57, 0.051087, 0.051948
58, 0.051059, 0.051916
59, 0.051032, 0.051880
60, 0.051009, 0.051852
1, 0.087576, 0.086033
2, 0.068133, 0.066643
3, 0.062122, 0.060931
4, 0.058892, 0.058234
5, 0.057786, 0.057269
6, 0.057601, 0.057197
7, 0.056949, 0.056568
8, 0.056481, 0.056139
9, 0.056194, 0.055886
10, 0.055974, 0.055750
11, 0.055800, 0.055777
12, 0.055692, 0.055731
13, 0.055691, 0.055779
14, 0.055478, 0.055565
15, 0.055101, 0.055146
16, 0.054910, 0.054922
17, 0.054790, 0.054875
18, 0.054960, 0.055119
19, 0.055063, 0.055270
20, 0.054944, 0.055221
21, 0.054798, 0.055048
22, 0.054379, 0.054582
23, 0.053794, 0.053956
24, 0.053113, 0.053302
25, 0.052780, 0.052874
26, 0.052543, 0.052660
27, 0.052278, 0.052454
28, 0.052146, 0.052352
29, 0.052045, 0.052292
30, 0.051909, 0.052243
31, 0.051838, 0.052235
32, 0.051793, 0.052183
33, 0.051737, 0.052164
34, 0.051672, 0.052101
35, 0.051629, 0.052036
36, 0.051564, 0.051960
37, 0.051538, 0.051894
38, 0.051462, 0.051794
39, 0.051404, 0.051718
40, 0.051335, 0.051661
41, 0.051274, 0.051597
42, 0.051173, 0.051555
43, 0.051112, 0.051520
44, 0.051043, 0.051497
45, 0.050990, 0.051464
46, 0.050939, 0.051442
47, 0.050889, 0.051419
48, 0.050855, 0.051395
49, 0.050825, 0.051377
50, 0.050809, 0.051350
51, 0.050787, 0.051347
52, 0.050774, 0.051326
53, 0.050761, 0.051317
54, 0.050748, 0.051308
55, 0.050737, 0.051294
1, 0.085913, 0.084972
2, 0.067994, 0.067212
3, 0.064593, 0.063531
4, 0.062117, 0.061084
5, 0.060363, 0.060003
6, 0.059131, 0.058921
7, 0.058338, 0.058271
8, 0.057717, 0.057788
9, 0.057529, 0.057686
10, 0.057496, 0.057720
11, 0.057429, 0.057801
12, 0.057253, 0.057779
13, 0.056893, 0.057320
14, 0.056243, 0.056562
15, 0.056184, 0.056340
16, 0.056221, 0.056419
17, 0.056585, 0.056762
18, 0.056598, 0.056918
19, 0.056542, 0.056837
20, 0.056023, 0.056362
21, 0.055122, 0.055430
22, 0.054322, 0.054565
23, 0.053714, 0.053932
24, 0.053428, 0.053591
25, 0.053074, 0.053378
26, 0.052950, 0.053381
27, 0.052878, 0.053369
28, 0.052749, 0.053334
29, 0.052654, 0.053279
30, 0.052551, 0.053160
31, 0.052434, 0.052998
32, 0.052321, 0.052879
33, 0.052148, 0.052693
34, 0.052083, 0.052561
35, 0.051987, 0.052415
36, 0.051942, 0.052319
37, 0.051942, 0.052249
38, 0.051861, 0.052164
39, 0.051847, 0.052113
40, 0.051747, 0.052048
41, 0.051614, 0.051969
42, 0.051501, 0.051891
43, 0.051425, 0.051849
44, 0.051336, 0.051807
45, 0.051292, 0.051769
46, 0.051229, 0.051732
47, 0.051206, 0.051705
48, 0.051182, 0.051671
49, 0.051149, 0.051648
50, 0.051119, 0.051630
51, 0.051105, 0.051612
52, 0.051082, 0.051598
53, 0.051052, 0.051591
54, 0.051018, 0.051580
1, 0.080744, 0.079622
2, 0.066512, 0.064695
3, 0.062622, 0.061448
4, 0.060374, 0.059260
5, 0.058809, 0.058090
6, 0.057931, 0.057646
7, 0.057441, 0.057309
8, 0.057106, 0.056946
9, 0.056751, 0.056449
10, 0.056720, 0.056406
11, 0.056405, 0.056351
12, 0.056383, 0.056457
13, 0.056200, 0.056471
14, 0.055845, 0.056025
15, 0.055829, 0.055832
16, 0.055686, 0.055626
17, 0.055622, 0.055737
18, 0.055771, 0.055958
19, 0.055711, 0.056073
20, 0.055973, 0.056337
21, 0.055825, 0.056190
22, 0.055313, 0.055599
23, 0.054893, 0.055099
24, 0.054391, 0.054471
25, 0.053839, 0.053866
26, 0.053508, 0.053500
27, 0.053171, 0.053214
28, 0.052970, 0.053028
29, 0.052803, 0.052932
30, 0.052774, 0.052891
31, 0.052981, 0.052950
32, 0.053209, 0.053051
33, 0.053366, 0.053110
34, 0.053671, 0.053226
35, 0.053941, 0.053339
36, 0.053890, 0.053279
37, 0.053691, 0.053105
38, 0.053180, 0.052768
39, 0.052641, 0.052439
40, 0.052294, 0.052223
41, 0.052021, 0.052078
42, 0.051852, 0.051986
43, 0.051764, 0.051918
44, 0.051702, 0.051857
45, 0.051609, 0.051782
46, 0.051520, 0.051719
47, 0.051464, 0.051675
48, 0.051390, 0.051640
49, 0.051337, 0.051621
50, 0.051246, 0.051601
51, 0.051194, 0.051589
52, 0.051123, 0.051589
53, 0.051061, 0.051593
54, 0.051009, 0.051610
55, 0.050970, 0.051631
56, 0.050941, 0.051682
57, 0.050926, 0.051712
58, 0.050924, 0.051774
59, 0.050913, 0.051794
60, 0.050901, 0.051803
61, 0.050880, 0.051795
62, 0.050853, 0.051767
63, 0.050823, 0.051729
1, 0.079464, 0.077783
2, 0.067149, 0.066139
3, 0.062640, 0.061764
4, 0.060908, 0.059928
5, 0.058845, 0.058380
6, 0.058177, 0.057776
7, 0.057540, 0.057122
8, 0.056814, 0.056477
9, 0.056360, 0.056050
10, 0.056028, 0.055813
11, 0.055597, 0.055646
12, 0.055225, 0.055342
13, 0.055302, 0.055394
14, 0.055238, 0.055283
15, 0.055095, 0.055047
16, 0.054809, 0.054673
17, 0.054337, 0.054301
18, 0.053958, 0.054079
19, 0.053873, 0.054106
20, 0.054026, 0.054221
21, 0.054201, 0.054455
22, 0.054305, 0.054560
23, 0.054394, 0.054562
24, 0.054172, 0.054326
25, 0.053743, 0.053848
26, 0.053142, 0.053302
27, 0.052741, 0.052896
28, 0.052561, 0.052737
29, 0.052489, 0.052637
30, 0.052407, 0.052581
31, 0.052487, 0.052619
32, 0.052642, 0.052717
33, 0.052745, 0.052786
34, 0.052957, 0.052931
35, 0.053042, 0.052976
36, 0.053068, 0.052970
37, 0.052881, 0.052853
38, 0.052606, 0.052675
39, 0.052210, 0.052439
40, 0.051897, 0.052271
41, 0.051670, 0.052125
42, 0.051492, 0.052033
43, 0.051401, 0.051973
44, 0.051340, 0.051914
45, 0.051286, 0.051879
46, 0.051234, 0.051821
47, 0.051182, 0.051773
48, 0.051136, 0.051725
49, 0.051084, 0.051684
50, 0.051037, 0.051649
51, 0.050997, 0.051624
52, 0.050962, 0.051611
53, 0.050926, 0.051608
54, 0.050892, 0.051609
55, 0.050861, 0.051612
56, 0.050835, 0.051619
57, 0.050810, 0.051647
58, 0.050793, 0.051664
59, 0.050780, 0.051697
60, 0.050769, 0.051714
61, 0.050759, 0.051723
62, 0.050747, 0.051723
63, 0.050739, 0.051730
64, 0.050730, 0.051738
65, 0.050708, 0.051697
1, 0.085294, 0.084576
2, 0.067979, 0.066454
3, 0.064692, 0.063468
4, 0.060204, 0.059563
5, 0.059113, 0.058688
6, 0.058466, 0.058163
7, 0.058073, 0.057866
8, 0.057293, 0.057096
9, 0.056591, 0.056324
10, 0.056213, 0.056077
11, 0.055718, 0.055704
12, 0.055250, 0.055418
13, 0.055137, 0.055309
14, 0.055121, 0.055232
15, 0.055151, 0.055145
16, 0.055220, 0.055140
17, 0.054638, 0.054753
18, 0.054304, 0.054612
19, 0.054102, 0.054496
20, 0.054121, 0.054624
21, 0.054457, 0.054914
22, 0.054731, 0.055191
23, 0.054807, 0.055170
24, 0.054750, 0.055053
25, 0.054323, 0.054540
26, 0.053600, 0.053798
27, 0.053148, 0.053314
28, 0.052852, 0.053044
29, 0.052607, 0.052848
30, 0.052449, 0.052746
31, 0.052500, 0.052788
32, 0.052512, 0.052785
33, 0.052571, 0.052789
34, 0.052684, 0.052806
35, 0.052755, 0.052841
36, 0.052775, 0.052819
37, 0.052677, 0.052722
38, 0.052491, 0.052566
39, 0.052202, 0.052362
40, 0.051935, 0.052191
41, 0.051739, 0.052059
42, 0.051572, 0.051957
43, 0.051486, 0.051892
44, 0.051410, 0.051844
45, 0.051352, 0.051801
46, 0.051312, 0.051755
47, 0.051259, 0.051708
48, 0.051191, 0.051682
49, 0.051153, 0.051656
50, 0.051126, 0.051639
51, 0.051106, 0.051628
52, 0.051067, 0.051622
53, 0.051033, 0.051616
54, 0.051009, 0.051614
55, 0.050979, 0.051613
56, 0.050938, 0.051623
57, 0.050908, 0.051627
58, 0.050878, 0.051646
59, 0.050853, 0.051660
60, 0.050829, 0.051672
1, 0.087630, 0.086648
2, 0.068650, 0.067234
3, 0.064484, 0.062984
4, 0.062109, 0.060795
5, 0.059852, 0.059078
6, 0.059096, 0.058652
7, 0.058634, 0.058505
8, 0.058904, 0.058879
9, 0.058865, 0.058817
10, 0.058145, 0.058074
11, 0.057094, 0.057320
12, 0.056686, 0.057000
13, 0.056440, 0.056806
14, 0.056780, 0.056969
15, 0.057121, 0.057249
16, 0.057089, 0.057170
17, 0.056695, 0.056844
18, 0.056033, 0.056204
19, 0.055199, 0.055399
20, 0.054661, 0.054834
21, 0.054271, 0.054396
22, 0.054036, 0.054124
23, 0.054021, 0.054075
24, 0.053884, 0.054009
25, 0.053809, 0.053988
26, 0.053688, 0.053978
27, 0.053466, 0.053863
28, 0.053356, 0.053755
29, 0.053260, 0.053652
30, 0.053242, 0.053502
31, 0.053209, 0.053376
32, 0.053310, 0.053301
33, 0.053360, 0.053194
34, 0.053411, 0.053129
35, 0.053490, 0.053088
36, 0.053329, 0.052931
37, 0.053057, 0.052750
38, 0.052699, 0.052533
39, 0.052314, 0.052344
40, 0.052103, 0.052243
41, 0.051960, 0.052185
42, 0.051858, 0.052141
43, 0.051790, 0.052123
44, 0.051754, 0.052102
45, 0.051746, 0.052096
46, 0.051733, 0.052079
47, 0.051714, 0.052058
48, 0.051704, 0.052038
49, 0.051654, 0.052020
50, 0.051591, 0.051994
51, 0.051546, 0.051980
