epoch, loss(train), loss(val)
1, 0.089365, 0.089866
2, 0.068522, 0.067475
3, 0.064660, 0.063543
4, 0.060944, 0.060222
5, 0.059607, 0.059185
6, 0.059017, 0.058908
7, 0.058705, 0.058627
8, 0.057935, 0.057949
9, 0.057351, 0.057564
10, 0.057105, 0.057496
11, 0.057331, 0.057902
12, 0.057670, 0.058274
13, 0.057249, 0.057841
14, 0.056559, 0.057023
15, 0.056072, 0.056385
16, 0.055778, 0.056150
17, 0.055711, 0.056225
18, 0.056003, 0.056527
19, 0.056290, 0.056798
20, 0.056202, 0.056684
21, 0.055960, 0.056379
22, 0.055332, 0.055604
23, 0.054427, 0.054705
24, 0.053469, 0.053835
25, 0.052888, 0.053347
26, 0.052713, 0.053128
27, 0.052674, 0.053046
28, 0.052746, 0.053070
29, 0.052882, 0.053139
30, 0.053056, 0.053216
31, 0.053288, 0.053299
32, 0.053367, 0.053294
33, 0.053364, 0.053223
34, 0.053219, 0.053042
35, 0.052854, 0.052749
36, 0.052477, 0.052477
37, 0.052089, 0.052239
38, 0.051860, 0.052100
39, 0.051728, 0.052022
40, 0.051652, 0.051964
41, 0.051576, 0.051914
42, 0.051482, 0.051847
43, 0.051408, 0.051786
44, 0.051326, 0.051744
45, 0.051266, 0.051715
46, 0.051217, 0.051692
47, 0.051178, 0.051682
48, 0.051143, 0.051676
49, 0.051100, 0.051670
50, 0.051068, 0.051674
51, 0.051037, 0.051669
52, 0.051013, 0.051687
53, 0.050992, 0.051694
54, 0.050976, 0.051701
55, 0.050966, 0.051729
56, 0.050953, 0.051729
57, 0.050937, 0.051726
58, 0.050921, 0.051718
59, 0.050908, 0.051713
60, 0.050892, 0.051699
61, 0.050871, 0.051670
62, 0.050855, 0.051652
63, 0.050837, 0.051624
64, 0.050821, 0.051595
65, 0.050809, 0.051581
66, 0.050798, 0.051564
67, 0.050787, 0.051544
68, 0.050780, 0.051538
69, 0.050771, 0.051531
70, 0.050765, 0.051523
71, 0.050759, 0.051518
72, 0.050751, 0.051504
73, 0.050746, 0.051499
74, 0.050740, 0.051495
75, 0.050735, 0.051488
76, 0.050731, 0.051485
77, 0.050727, 0.051479
78, 0.050722, 0.051469
79, 0.050718, 0.051463
80, 0.050715, 0.051465
81, 0.050712, 0.051464
82, 0.050708, 0.051460
83, 0.050705, 0.051456
84, 0.050702, 0.051454
85, 0.050700, 0.051448
86, 0.050697, 0.051446
87, 0.050695, 0.051446
88, 0.050693, 0.051441
89, 0.050691, 0.051438
90, 0.050689, 0.051439
91, 0.050687, 0.051436
92, 0.050686, 0.051437
93, 0.050685, 0.051436
94, 0.050683, 0.051432
95, 0.050682, 0.051432
96, 0.050680, 0.051430
97, 0.050679, 0.051429
98, 0.050678, 0.051428
99, 0.050677, 0.051427
100, 0.050677, 0.051429
101, 0.050676, 0.051427
102, 0.050675, 0.051424
103, 0.050674, 0.051422
104, 0.050674, 0.051424
105, 0.050673, 0.051424
106, 0.050673, 0.051425
107, 0.050672, 0.051423
108, 0.050672, 0.051423
109, 0.050671, 0.051424
110, 0.050671, 0.051423
111, 0.050670, 0.051422
112, 0.050670, 0.051422
113, 0.050670, 0.051421
114, 0.050669, 0.051421
115, 0.050669, 0.051422
116, 0.050669, 0.051422
117, 0.050669, 0.051421
118, 0.050668, 0.051421
119, 0.050668, 0.051420
120, 0.050668, 0.051420
121, 0.050668, 0.051419
122, 0.050668, 0.051419
123, 0.050667, 0.051419
124, 0.050667, 0.051419
125, 0.050667, 0.051419
126, 0.050667, 0.051419
127, 0.050667, 0.051419
128, 0.050667, 0.051419
129, 0.050667, 0.051419
130, 0.050667, 0.051419
131, 0.050667, 0.051419
132, 0.050667, 0.051419
133, 0.050667, 0.051418
134, 0.050666, 0.051418
135, 0.050666, 0.051418
136, 0.050666, 0.051418
137, 0.050666, 0.051418
138, 0.050666, 0.051418
139, 0.050666, 0.051418
140, 0.050666, 0.051418
141, 0.050666, 0.051417
142, 0.050666, 0.051417
143, 0.050666, 0.051418
144, 0.050666, 0.051418
145, 0.050666, 0.051417
146, 0.050666, 0.051417
147, 0.050666, 0.051417
148, 0.050666, 0.051417
149, 0.050666, 0.051417
150, 0.050666, 0.051417
151, 0.050666, 0.051417
152, 0.050666, 0.051417
153, 0.050666, 0.051417
154, 0.050666, 0.051417
155, 0.050666, 0.051417
156, 0.050666, 0.051417
157, 0.050666, 0.051417
158, 0.050666, 0.051417
159, 0.050666, 0.051417
160, 0.050666, 0.051417
161, 0.050666, 0.051417
162, 0.050666, 0.051417
163, 0.050666, 0.051417
164, 0.050666, 0.051417
165, 0.050666, 0.051417
166, 0.050666, 0.051417
167, 0.050666, 0.051417
168, 0.050666, 0.051417
169, 0.050666, 0.051417
170, 0.050666, 0.051417
171, 0.050666, 0.051417
172, 0.050666, 0.051417
173, 0.050666, 0.051417
174, 0.050666, 0.051417
175, 0.050666, 0.051417
176, 0.050666, 0.051417
177, 0.050666, 0.051417
178, 0.050666, 0.051417
179, 0.050666, 0.051417
180, 0.050666, 0.051417
181, 0.050666, 0.051417
182, 0.050666, 0.051417
183, 0.050666, 0.051417
184, 0.050666, 0.051417
185, 0.050666, 0.051417
186, 0.050666, 0.051417
187, 0.050666, 0.051417
188, 0.050666, 0.051417
189, 0.050666, 0.051417
190, 0.050666, 0.051417
191, 0.050666, 0.051417
192, 0.050666, 0.051417
193, 0.050666, 0.051417
194, 0.050666, 0.051417
195, 0.050666, 0.051417
196, 0.050666, 0.051417
197, 0.050666, 0.051417
198, 0.050666, 0.051417
199, 0.050666, 0.051417
200, 0.050666, 0.051417
201, 0.050666, 0.051417
202, 0.050666, 0.051417
203, 0.050666, 0.051417
204, 0.050666, 0.051417
205, 0.050666, 0.051417
206, 0.050666, 0.051417
207, 0.050666, 0.051417
208, 0.050666, 0.051417
209, 0.050666, 0.051417
210, 0.050666, 0.051417
211, 0.050666, 0.051417
212, 0.050666, 0.051417
213, 0.050666, 0.051417
214, 0.050666, 0.051417
215, 0.050666, 0.051417
216, 0.050666, 0.051417
217, 0.050666, 0.051417
218, 0.050666, 0.051417
219, 0.050666, 0.051417
220, 0.050666, 0.051417
221, 0.050666, 0.051417
222, 0.050666, 0.051417
223, 0.050666, 0.051417
224, 0.050666, 0.051417
225, 0.050666, 0.051417
226, 0.050666, 0.051417
227, 0.050666, 0.051417
228, 0.050666, 0.051417
229, 0.050666, 0.051417
230, 0.050666, 0.051417
231, 0.050666, 0.051417
232, 0.050666, 0.051417
233, 0.050666, 0.051417
234, 0.050666, 0.051417
235, 0.050666, 0.051417
236, 0.050666, 0.051417
237, 0.050666, 0.051417
238, 0.050666, 0.051417
239, 0.050666, 0.051417
240, 0.050666, 0.051417
241, 0.050666, 0.051417
242, 0.050666, 0.051417
243, 0.050666, 0.051417
244, 0.050666, 0.051417
245, 0.050666, 0.051417
246, 0.050666, 0.051417
247, 0.050666, 0.051417
248, 0.050666, 0.051417
249, 0.050666, 0.051417
250, 0.050666, 0.051417
251, 0.050666, 0.051417
252, 0.050666, 0.051417
253, 0.050666, 0.051417
254, 0.050666, 0.051417
255, 0.050666, 0.051417
256, 0.050666, 0.051417
257, 0.050666, 0.051417
258, 0.050666, 0.051417
259, 0.050666, 0.051417
260, 0.050666, 0.051417
261, 0.050666, 0.051417
262, 0.050666, 0.051417
263, 0.050666, 0.051417
264, 0.050666, 0.051417
265, 0.050666, 0.051417
266, 0.050666, 0.051417
267, 0.050666, 0.051417
268, 0.050666, 0.051417
269, 0.050666, 0.051417
270, 0.050666, 0.051417
271, 0.050666, 0.051417
272, 0.050666, 0.051417
273, 0.050666, 0.051417
274, 0.050666, 0.051417
275, 0.050666, 0.051417
276, 0.050666, 0.051417
277, 0.050666, 0.051417
278, 0.050666, 0.051417
279, 0.050666, 0.051417
280, 0.050666, 0.051417
281, 0.050666, 0.051417
282, 0.050666, 0.051417
283, 0.050666, 0.051417
284, 0.050666, 0.051417
285, 0.050666, 0.051417
286, 0.050666, 0.051417
287, 0.050666, 0.051417
288, 0.050666, 0.051417
289, 0.050666, 0.051417
290, 0.050666, 0.051417
291, 0.050666, 0.051417
292, 0.050666, 0.051417
293, 0.050666, 0.051417
