epoch, loss(train), loss(val)
1, 0.106532, 0.109270
2, 0.095428, 0.097530
3, 0.090024, 0.091654
4, 0.086840, 0.088290
5, 0.085175, 0.086443
6, 0.084256, 0.085231
7, 0.083388, 0.084379
8, 0.082766, 0.083685
9, 0.082271, 0.083217
10, 0.081836, 0.082803
11, 0.081547, 0.082447
12, 0.081178, 0.082092
13, 0.080869, 0.081751
14, 0.080644, 0.081556
15, 0.080391, 0.081279
16, 0.080222, 0.081098
17, 0.080038, 0.080880
18, 0.079911, 0.080777
19, 0.079714, 0.080606
20, 0.079589, 0.080480
21, 0.079406, 0.080328
22, 0.079339, 0.080205
23, 0.079207, 0.080088
24, 0.079084, 0.079978
25, 0.079040, 0.079932
26, 0.078889, 0.079799
27, 0.078822, 0.079725
28, 0.078742, 0.079628
29, 0.078611, 0.079555
30, 0.078586, 0.079513
31, 0.078523, 0.079450
32, 0.078456, 0.079391
33, 0.078401, 0.079339
34, 0.078364, 0.079309
35, 0.078296, 0.079267
36, 0.078242, 0.079220
37, 0.078217, 0.079206
38, 0.078172, 0.079159
39, 0.078125, 0.079112
40, 0.078090, 0.079078
41, 0.078064, 0.079061
42, 0.078024, 0.079030
43, 0.077999, 0.079014
44, 0.077969, 0.079004
45, 0.077942, 0.078974
46, 0.077913, 0.078955
47, 0.077897, 0.078943
48, 0.077872, 0.078943
49, 0.077860, 0.078925
50, 0.077845, 0.078909
1, 0.106738, 0.110443
2, 0.094961, 0.097940
3, 0.089637, 0.092018
4, 0.086759, 0.088715
5, 0.085159, 0.086774
6, 0.084000, 0.085421
7, 0.083180, 0.084470
8, 0.082572, 0.083797
9, 0.082123, 0.083295
10, 0.081630, 0.082839
11, 0.081291, 0.082452
12, 0.080972, 0.082084
13, 0.080653, 0.081747
14, 0.080442, 0.081523
15, 0.080123, 0.081291
16, 0.079901, 0.081047
17, 0.079744, 0.080816
18, 0.079591, 0.080666
19, 0.079401, 0.080512
20, 0.079236, 0.080347
21, 0.079109, 0.080221
22, 0.078977, 0.080101
23, 0.078854, 0.080001
24, 0.078805, 0.079867
25, 0.078686, 0.079800
26, 0.078619, 0.079673
27, 0.078528, 0.079612
28, 0.078430, 0.079535
29, 0.078359, 0.079456
30, 0.078281, 0.079384
31, 0.078242, 0.079335
32, 0.078183, 0.079284
33, 0.078123, 0.079225
34, 0.078082, 0.079195
35, 0.078023, 0.079155
36, 0.077983, 0.079103
37, 0.077936, 0.079066
38, 0.077902, 0.079045
39, 0.077875, 0.079019
40, 0.077839, 0.078968
41, 0.077803, 0.078962
42, 0.077777, 0.078970
43, 0.077755, 0.078905
44, 0.077733, 0.078915
45, 0.077713, 0.078907
46, 0.077690, 0.078885
47, 0.077666, 0.078863
48, 0.077652, 0.078851
49, 0.077632, 0.078827
50, 0.077617, 0.078828
51, 0.077603, 0.078800
52, 0.077587, 0.078780
53, 0.077573, 0.078771
54, 0.077561, 0.078770
55, 0.077551, 0.078766
56, 0.077541, 0.078755
57, 0.077533, 0.078769
58, 0.077520, 0.078739
59, 0.077514, 0.078746
60, 0.077504, 0.078725
61, 0.077499, 0.078735
62, 0.077492, 0.078728
63, 0.077485, 0.078724
64, 0.077478, 0.078721
65, 0.077468, 0.078695
66, 0.077468, 0.078714
67, 0.077462, 0.078705
68, 0.077458, 0.078700
69, 0.077453, 0.078694
70, 0.077454, 0.078712
71, 0.077449, 0.078707
72, 0.077444, 0.078695
73, 0.077440, 0.078689
74, 0.077438, 0.078692
75, 0.077435, 0.078691
76, 0.077430, 0.078680
77, 0.077427, 0.078679
78, 0.077426, 0.078680
79, 0.077424, 0.078680
80, 0.077420, 0.078671
81, 0.077419, 0.078675
82, 0.077415, 0.078664
83, 0.077414, 0.078668
84, 0.077410, 0.078661
85, 0.077410, 0.078663
86, 0.077409, 0.078667
87, 0.077407, 0.078664
88, 0.077406, 0.078664
89, 0.077404, 0.078660
90, 0.077403, 0.078663
91, 0.077401, 0.078657
92, 0.077399, 0.078655
93, 0.077399, 0.078657
94, 0.077399, 0.078657
95, 0.077398, 0.078657
96, 0.077397, 0.078658
97, 0.077397, 0.078657
98, 0.077394, 0.078651
99, 0.077394, 0.078652
100, 0.077393, 0.078650
101, 0.077392, 0.078649
102, 0.077391, 0.078646
103, 0.077390, 0.078645
104, 0.077389, 0.078644
105, 0.077389, 0.078644
106, 0.077388, 0.078642
107, 0.077388, 0.078642
108, 0.077388, 0.078644
109, 0.077387, 0.078643
110, 0.077387, 0.078643
111, 0.077386, 0.078641
112, 0.077386, 0.078641
113, 0.077386, 0.078642
114, 0.077386, 0.078641
115, 0.077385, 0.078641
116, 0.077385, 0.078641
117, 0.077385, 0.078641
118, 0.077385, 0.078641
119, 0.077385, 0.078642
120, 0.077384, 0.078641
121, 0.077384, 0.078641
122, 0.077384, 0.078641
123, 0.077384, 0.078641
124, 0.077384, 0.078641
125, 0.077384, 0.078640
126, 0.077384, 0.078640
127, 0.077384, 0.078641
128, 0.077384, 0.078640
129, 0.077383, 0.078640
130, 0.077383, 0.078640
131, 0.077383, 0.078639
132, 0.077383, 0.078640
133, 0.077383, 0.078640
134, 0.077383, 0.078639
135, 0.077383, 0.078639
136, 0.077383, 0.078639
137, 0.077383, 0.078639
138, 0.077383, 0.078639
139, 0.077383, 0.078639
