GYRO_DIFF, GYRO_X, GYRO_Y, GYRO_Z, ACC_DIFF, ACC_X, ACC_Y, ACC_Z, TOUCH_DOWN, TOUCH_X, TOUCH_Y 
4974366, 0.0317688, 0.039627075, -0.0041046143, 4974366, 0.25805053, -0.010186195, 0.04458046, 0, 0, 0
4913330, 0.0317688, 0.039627075, -0.010223389, 4913330, 0.058495373, 0.00894928, 0.008410454, 0, 0, 0
5157470, 0.028121948, 0.0652771, -0.0077819824, 5157470, -0.10772255, 0.072301865, -0.039041996, 0, 0, 0
6866455, 0.029327393, 0.027389526, -0.012664795, 6866455, -0.22322085, 0.07745886, -0.16649342, 0, 0, 0
5035401, 0.03300476, 0.0017547607, -0.011428833, 5035401, -0.31753138, 0.0769124, -0.3336916, 0, 0, 0
5035400, 0.011001587, -0.043441772, -4.5776367E-4, 5035400, -0.32363293, 0.05732441, -0.31233978, 0, 0, 0
5035401, -0.008514404, -0.08621216, -0.00289917, 5035401, -0.14726835, 0.123708725, -0.40685463, 0, 0, 0
5035400, -0.03540039, -0.09841919, 7.6293945E-4, 5035400, -0.13386714, 0.10618591, -0.45783234, 0, 0, 0
4943848, -0.06838989, -0.09963989, 0.008087158, 4943848, -0.08329275, 0.08471203, -0.52276754, 0, 0, 0
4943847, -0.09526062, -0.09475708, 0.015411377, 4943847, -0.06570408, 0.06665945, -0.485641, 0, 0, 0
4913330, -0.105041504, -0.080093384, 0.014205933, 4913330, 0.010887891, 0.010285854, -0.39620972, 0, 0, 0
4974366, -0.101364136, -0.080093384, 0.026412964, 4974366, 0.08046016, 0.007739544, -0.31742907, 0, 0, 0
4913330, -0.101364136, -0.067871094, 0.026412964, 4913330, 0.10407096, -0.069618225, -0.27406836, 0, 0, 0
4974365, -0.1026001, -0.067871094, 0.030090332, 4974365, 0.124254555, -0.09401703, -0.30009508, 0, 0, 0
4943848, -0.1026001, -0.07521057, 0.030090332, 4943848, 0.14556253, -0.12266302, -0.19248486, 0, 0, 0
4943847, -0.09037781, -0.08375549, 0.02520752, 4943847, 0.11980018, -0.03465414, 0.042127132, 0, 0, 0
4974365, -0.06472778, -0.07154846, 0.015411377, 4974365, 0.10258326, 0.043619156, 0.18443394, 0, 0, 0
4943848, -0.056167603, -0.06666565, 0.020324707, 4943848, 0.051183343, 0.0033164024, 0.25169468, 0, 0, 0
4913330, -0.032958984, -0.06298828, 0.017868042, 4913330, 0.08771148, -0.066124916, 0.21321392, 0, 0, 0
